count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1,0.000006,272.556641,1011.621582,29.804688,0.157959,0.734558,1.675781,14.57641,-25.594246,70.855331,65.710587,104.255569,-154.451584
2,0.012752,272.556641,1011.597412,29.804688,0.156006,0.73407,1.677246,17.689203,-29.31739,70.061874,56.323364,85.300011,-166.56543
3,0.025471,272.556641,1011.601318,29.804688,0.161377,0.736511,1.657715,21.900629,-29.927742,69.817734,67.275131,102.675941,-155.96582
4,0.040297,272.556641,1011.596924,29.804688,0.149658,0.740906,1.651855,25.501703,-29.256355,69.878769,76.662354,74.242607,-152.937363
5,0.053021,272.556641,1011.601807,29.804688,0.158447,0.729187,1.632324,25.257563,-28.157722,70.428085,65.710587,97.937057,-160.508514
6,0.06574,272.556641,1011.629883,29.804688,0.16333,0.725769,1.634277,24.097895,-24.495613,70.794296,71.968742,104.255569,-145.366196
7,0.080566,272.556641,1011.598633,29.804688,0.171631,0.717957,1.628418,20.191645,-23.702156,69.512558,62.581516,88.459267,-166.56543
8,0.093274,272.556641,1011.593018,29.765625,0.178467,0.71698,1.635742,17.200922,-24.983894,69.207382,64.146049,93.198166,-158.994278
9,0.105956,272.556641,1011.604004,29.765625,0.179932,0.719421,1.635254,16.102289,-26.204597,68.35289,73.533279,96.357422,-158.994278
10,0.118638,281.500214,1011.60083,29.765625,0.167236,0.71991,1.648926,16.59057,-28.768074,67.742538,73.533279,99.516685,-152.937363
11,0.165337,281.500214,1011.631104,29.765625,0.174561,0.704773,1.635254,26.234125,-25.960457,66.399765,67.275131,86.879639,-152.937363
12,0.178027,281.500214,1011.614746,29.765625,0.181396,0.697449,1.63623,27.454828,-26.265633,66.094589,75.097816,88.459267,-160.508514
13,0.190724,281.500214,1011.584717,29.765625,0.199951,0.650574,1.626953,26.478266,-28.707039,66.765976,79.791428,80.561119,-165.051193
14,0.203415,281.500214,1011.593994,29.765625,0.237549,0.587585,1.621582,27.821039,-33.22364,68.597031,78.226891,91.618538,-145.366196
15,0.218194,281.500214,1011.607666,29.765625,0.275635,0.507019,1.60498,30.262445,-40.975105,67.254257,64.146049,86.879639,-162.022736
16,0.230876,281.500214,1011.590088,29.765625,0.3479,0.414734,1.561523,36.243889,-43.355476,57.854843,64.146049,96.357422,-162.022736
17,0.243553,281.500214,1011.596436,29.765625,0.567627,0.397156,1.406738,45.155022,-34.383308,45.098495,70.404205,83.720383,-152.937363
18,0.256229,281.500214,1011.590576,29.765625,0.512451,0.352234,1.348633,70.667717,-1.85157,42.718124,61.016975,83.720383,-152.937363
19,0.270998,281.500214,1011.597656,29.765625,0.602295,0.319519,1.326172,90.137932,20.304192,-13.373184,57.887901,102.675941,-146.880417
20,0.283682,281.500214,1011.583252,29.765625,0.703857,0.397156,1.337891,99.537346,45.206535,-47.613907,42.242523,99.516685,-165.051193
21,0.296365,281.500214,1011.584473,29.765625,0.687256,0.505554,1.320801,81.776115,63.883293,-64.093399,39.113445,108.994461,-158.994278
22,0.311145,281.500214,1011.597168,29.765625,0.628174,0.592468,1.257324,40.943596,66.56884,-72.211075,21.90353,116.892609,-157.480042
23,0.323822,281.500214,1011.60376,29.765625,0.554932,0.711121,1.227051,-1.17066,44.474113,-60.797501,6.258152,126.370392,-151.423111
24,0.336463,281.500214,1011.568115,29.757812,0.512939,0.777039,1.126953,-27.232672,6.327141,-39.557266,21.90353,126.370392,-157.480042
25,0.349168,281.500214,1011.59375,29.757812,0.419189,0.855652,1.111816,-38.280037,-37.12989,-20.270157,29.726219,127.95002,-146.880417
26,0.363976,281.500214,1011.605469,29.757812,0.308838,0.939148,1.169434,-33.397224,-90.840828,1.031113,12.516303,132.688904,-148.394653
27,0.376671,281.500214,1011.621338,29.757812,0.164307,1.001648,1.273926,-12.76734,-133.077148,25.017929,10.951765,137.427795,-155.96582
28,0.389391,281.500214,1011.592529,29.757812,0.091553,1.075378,1.335449,14.637445,-168.96582,35.638046,32.855293,115.312981,-146.880417
29,0.402121,281.500214,1011.592529,29.757812,0.072021,1.02948,1.415039,45.460197,-192.647461,18.059921,26.597143,108.994461,-155.96582
30,0.448855,281.500214,1011.615723,29.757812,-0.035889,0.886902,1.59668,195.423584,-61.116707,34.783554,-17.209915,96.357422,-192.307358
31,0.461555,281.500214,1011.600098,29.757812,-0.061279,0.9953,1.812012,196.033936,-26.998055,50.164413,-26.597143,93.198166,-207.449661
32,0.474253,281.500214,1011.613525,29.757812,-0.094482,1.018738,2.049316,173.695068,-2.217781,77.93541,-15.645379,78.981491,-208.963898
33,0.486972,281.500214,1011.600586,29.757812,-0.059814,1.112976,2.225098,130.360107,6.20507,85.625839,-46.936134,78.981491,-221.077759
34,0.501778,281.500214,1011.612793,29.757812,-0.00708,1.113464,2.318359,63.526604,8.646477,65.972519,-48.500675,96.357422,-201.392746
35,0.514457,281.500214,1011.609619,29.757812,0.019287,1.030457,2.188965,16.285395,3.092278,66.521835,-40.677982,101.096313,-205.93544
36,0.52715,281.500214,1011.61377,29.757812,-0.072021,1.052429,2.028809,-16.124273,-20.711433,74.456406,-56.323364,104.255569,-211.992355
37,0.541959,243.869171,1011.617432,29.757812,0.172119,0.89325,2.000488,-24.241949,-46.224129,78.850937,-48.500675,83.720383,-195.335831
38,0.554659,243.869171,1011.613525,29.757812,0.184814,0.945007,1.950195,-34.739998,-53.609383,91.546249,-35.984371,90.038895,-213.506592
39,0.567365,243.869171,1011.60083,29.757812,0.107178,1.320496,1.723145,3.651117,-61.116707,93.621445,-40.677982,72.662971,-205.93544
40,0.580052,243.869171,1011.62915,29.726562,0.172119,0.975281,1.771484,82.996819,-72.042,81.658554,-35.984371,80.561119,-210.478134
41,0.594848,243.869171,1011.595459,29.726562,0.206787,1.007507,1.823242,144.459229,-96.639168,75.738144,-40.677982,78.981491,-208.963898
42,0.60755,243.869171,1011.611816,29.726562,0.194092,1.005066,1.86377,163.807373,-119.954597,68.291855,-53.194286,78.981491,-224.106216
43,0.620252,243.869171,1011.602051,29.726562,0.199951,0.962097,1.858887,140.430908,-143.51416,74.517441,-48.500675,80.561119,-219.563507
44,0.63295,243.869171,1011.604736,29.726562,0.266357,0.880066,1.787109,97.645256,-144.673828,90.813828,-57.887901,67.924088,-240.762756
45,0.647749,243.869171,1011.60083,29.726562,0.304443,0.851746,1.635742,49.671623,-138.509277,107.903671,-53.194286,63.185196,-266.504669
46,0.660473,243.869171,1011.613525,29.726562,0.363037,0.902039,1.603027,11.829828,-126.058113,121.636581,-45.371601,36.331486,-268.018921
47,0.673171,243.869171,1011.605225,29.726562,0.447998,0.874207,1.647949,-14.65943,-107.564461,131.890488,-56.323364,37.911118,-275.590088
